"uSeed","l2.dist","Model","N","phi","T","sim.Seed","Rep","sim.Path","sim.File"
62000,"Gaussian","NAR",100,0.4,30,0,6,"simulation-files/sim-files","sim_uSeed-62000_l2.dist-Gaussian_Model-NAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-6.rds"
62007,"Chi2","NAR",100,0.4,30,0,6,"simulation-files/sim-files","sim_uSeed-62007_l2.dist-Chi2_Model-NAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-6.rds"
63286,"Gaussian","BinAR",100,0.4,100,0,6,"simulation-files/sim-files","sim_uSeed-63286_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-6.rds"
63293,"Chi2","BinAR",100,0.4,100,0,6,"simulation-files/sim-files","sim_uSeed-63293_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-6.rds"
63297,"Gaussian","Chi2AR",100,0.4,100,0,6,"simulation-files/sim-files","sim_uSeed-63297_l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-6.rds"
63304,"Chi2","Chi2AR",100,0.4,100,0,6,"simulation-files/sim-files","sim_uSeed-63304_l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-6.rds"
63308,"Gaussian","DAR",100,0.4,100,0,6,"simulation-files/sim-files","sim_uSeed-63308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-6.rds"
63315,"Chi2","DAR",100,0.4,100,0,6,"simulation-files/sim-files","sim_uSeed-63315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-6.rds"
63319,"Gaussian","PoDAR",100,0.4,100,0,6,"simulation-files/sim-files","sim_uSeed-63319_l2.dist-Gaussian_Model-PoDAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-6.rds"
63326,"Chi2","PoDAR",100,0.4,100,0,6,"simulation-files/sim-files","sim_uSeed-63326_l2.dist-Chi2_Model-PoDAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-6.rds"
63330,"Gaussian","NAR",100,0.4,100,0,6,"simulation-files/sim-files","sim_uSeed-63330_l2.dist-Gaussian_Model-NAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-6.rds"
63337,"Chi2","NAR",100,0.4,100,0,6,"simulation-files/sim-files","sim_uSeed-63337_l2.dist-Chi2_Model-NAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-6.rds"
71956,"Gaussian","BinAR",100,0.4,30,0,7,"simulation-files/sim-files","sim_uSeed-71956_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-7.rds"
71963,"Chi2","BinAR",100,0.4,30,0,7,"simulation-files/sim-files","sim_uSeed-71963_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-7.rds"
71967,"Gaussian","Chi2AR",100,0.4,30,0,7,"simulation-files/sim-files","sim_uSeed-71967_l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-7.rds"
71974,"Chi2","Chi2AR",100,0.4,30,0,7,"simulation-files/sim-files","sim_uSeed-71974_l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-7.rds"
71978,"Gaussian","DAR",100,0.4,30,0,7,"simulation-files/sim-files","sim_uSeed-71978_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-7.rds"
71985,"Chi2","DAR",100,0.4,30,0,7,"simulation-files/sim-files","sim_uSeed-71985_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-7.rds"
71989,"Gaussian","PoDAR",100,0.4,30,0,7,"simulation-files/sim-files","sim_uSeed-71989_l2.dist-Gaussian_Model-PoDAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-7.rds"
71996,"Chi2","PoDAR",100,0.4,30,0,7,"simulation-files/sim-files","sim_uSeed-71996_l2.dist-Chi2_Model-PoDAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-7.rds"
72000,"Gaussian","NAR",100,0.4,30,0,7,"simulation-files/sim-files","sim_uSeed-72000_l2.dist-Gaussian_Model-NAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-7.rds"
72007,"Chi2","NAR",100,0.4,30,0,7,"simulation-files/sim-files","sim_uSeed-72007_l2.dist-Chi2_Model-NAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-7.rds"
73286,"Gaussian","BinAR",100,0.4,100,0,7,"simulation-files/sim-files","sim_uSeed-73286_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-7.rds"
73293,"Chi2","BinAR",100,0.4,100,0,7,"simulation-files/sim-files","sim_uSeed-73293_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-7.rds"
73297,"Gaussian","Chi2AR",100,0.4,100,0,7,"simulation-files/sim-files","sim_uSeed-73297_l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-7.rds"
